"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Andre Roberts","ATL","0.0","0.0","0.0","14.8","203.0","1.2","1.9","24.0"
"Sammie Coates","PIT","1.5","13.4","0.1","9.6","170.8","0.8","0.2","23.4"
"Kenbrell Thompkins","NYJ","0.0","0.0","0.0","18.0","199.0","0.7","0.4","23.3"
"Bennie Fowler","DEN","0.0","0.0","0.0","14.4","176.6","0.8","0.1","22.2"
"Jalin Marshall","NYJ","0.0","0.0","0.0","16.2","193.3","1.0","1.7","22.0"
"Roger Lewis","NYG","0.0","0.0","0.0","13.4","166.6","1.0","0.4","21.7"
"Demarcus Robinson","KC","0.0","0.0","0.0","12.2","159.5","0.9","0.1","21.2"
"Chris Moore","BAL","1.1","8.2","0.0","14.2","161.5","0.7","0.2","20.9"
"Lucky Whitehead","NYJ","0.0","0.0","0.0","12.0","144.0","1.0","0.0","20.4"
"Philly Brown","BUF","0.9","3.6","0.0","11.6","131.0","1.0","0.2","19.1"
"Tajae Sharpe","TEN","0.0","0.3","0.0","11.5","143.4","0.7","0.1","18.4"
"Jarius Wright","MIN","0.1","0.5","0.0","14.9","168.4","0.3","0.2","18.3"
"Darrius Heyward-Bey","PIT","0.4","9.4","0.0","8.4","134.5","0.6","0.0","18.2"
"Jordan Taylor","DEN","0.0","0.0","0.0","9.4","130.2","0.7","0.4","16.5"
"Chris Harper","NYJ","0.0","0.0","0.0","11.2","136.5","0.6","0.3","16.4"
"Josh Reynolds","LAR","0.0","0.0","0.0","10.7","136.3","0.6","0.6","16.2"
"Kasen Williams","SEA","0.1","-0.2","0.0","9.6","117.4","0.7","0.0","16.1"
"Jared Abbrederis","DET","0.2","2.3","0.0","12.3","141.3","0.3","0.0","16.1"
"Rashard Higgins","CLE","0.0","-0.1","0.0","10.3","127.7","0.6","0.1","16.1"
"Ryan Grant","WAS","0.0","0.3","0.0","10.2","134.1","0.5","0.4","15.3"
"Michael Campanaro","BAL","2.3","13.6","0.0","9.4","105.9","0.4","0.1","14.6"
"Andre Holmes","BUF","0.0","0.0","0.0","8.5","108.5","0.7","0.1","14.6"
"Cobi Hamilton","PIT","0.0","0.0","0.0","6.4","89.4","0.9","0.0","14.4"
"Tanner McEvoy","SEA","0.0","0.0","0.0","4.9","73.6","1.1","0.1","13.5"
"Pharoh Cooper","LAR","1.0","5.0","0.0","11.1","117.0","0.3","0.3","13.3"
"Cody Latimer","DEN","0.0","0.0","0.0","10.1","106.9","0.3","0.1","12.5"
"Freddie Martino","TB","0.0","0.0","0.0","5.9","91.4","0.6","0.1","12.3"
"Myles White","NYJ","0.0","-0.1","0.0","7.5","93.6","0.5","0.0","12.2"
"DeAndrew White","HOU","0.0","0.0","0.0","6.9","87.9","0.5","0.0","12.0"
"Leonte Carroo","MIA","0.0","0.0","0.0","8.3","103.6","0.3","0.1","11.9"
"Mack Hollins","PHI","0.0","0.0","0.0","7.9","92.7","0.4","0.0","11.7"
"Eric Weems","TEN","0.1","0.1","0.0","6.5","83.9","0.4","0.0","10.9"
